question,answer
"What is Chronic Kidney Disease?","Chronic Kidney Disease (CKD) is a long-term condition where the kidneys gradually lose their ability to filter waste and excess fluids from the blood."
"What causes CKD?","Common causes include diabetes, high blood pressure, kidney infections, and genetic conditions."
"Is CKD curable?","CKD is not fully curable, but early detection and lifestyle changes can slow its progression significantly."
"What are the stages of CKD?","CKD is divided into 5 stages based on GFR levels: Stage 1 (GFR > 90), Stage 2 (60-89), Stage 3 (30-59), Stage 4 (15-29), and Stage 5 (Failure, < 15)."
"Why am I predicted as Stage 3?","Stage 3 indicates moderate kidney damage. Your GFR is between 30 and 59, often due to factors like high creatinine or hypertension."
"Which factors affected my prediction most?","The AI looks at serum creatinine, hemoglobin, blood pressure, and diabetes status to determine your stage and risk."
"What does my risk score mean?","The risk score (0-100%) represents the probability of your condition progressing. Higher scores require closer medical monitoring."
"How can I slow CKD progression?","Control blood sugar, manage blood pressure, follow a kidney-friendly diet, and stay hydrated as advised by your doctor."
"Can diet improve kidney health?","Yes, a low-sodium and protein-regulated diet can significantly reduce the load on your kidneys."
"How reliable is this AI?","The model is trained on clinical data with 96%+ accuracy and is intended as a clinical decision support tool."
"What is GFR?","Glomerular Filtration Rate (GFR) is a test used to check how well the kidneys are working by measuring the level of creatinine in the blood."
"What is Serum Creatinine?","Creatinine is a waste product from muscle wear and tear. High levels in the blood suggest the kidneys aren't filtering well."
"What is ESRD?","End-Stage Renal Disease (ESRD) is the final stage of CKD where kidneys can no longer function on their own, requiring dialysis or transplant."
"Why is hemoglobin important in CKD?","Kidneys produce a hormone called erythropoietin that helps make red blood cells. Damaged kidneys make less, leading to anemia."
